Year,Ethnicity,Players
1947,White,0.00983
1948,White,0.00985
1949,White,0.00966
1950,White,0.00953
1951,White,0.00943
1952,White,0.00944
1953,White,0.00933
1954,White,0.00907
1955,White,0.00898
1956,White,0.00882
1957,White,0.00881
1958,White,0.00867
1959,White,0.00848
1960,White,0.00823
1961,White,0.00826
1962,White,0.00819
1963,White,0.00801
1964,White,0.00793
1965,White,0.00783
1966,White,0.00769
1967,White,0.00756
1968,White,0.00738
1969,White,0.00744
1970,White,0.00737
1971,White,0.00739
1972,White,0.00729
1973,White,0.00716
1974,White,0.00711
1975,White,0.00713
1976,White,0.00705
1977,White,0.00707
1978,White,0.00713
1979,White,0.00714
1980,White,0.00711
1981,White,0.00701
1982,White,0.00704
1983,White,0.00703
1984,White,0.00696
1985,White,0.00703
1986,White,0.007
1987,White,0.00699
1988,White,0.00682
1989,White,0.00703
1990,White,0.00686
1991,White,0.00668
1992,White,0.00677
1993,White,0.00663
1994,White,0.0065
1995,White,0.00645
1996,White,0.00632
1997,White,0.00609
1998,White,0.0062
1999,White,0.00617
2000,White,0.00612
2001,White,0.00607
2002,White,0.00608
2003,White,0.0061
2004,White,0.00603
2005,White,0.00609
2006,White,0.00613
2007,White,0.00631
2008,White,0.00621
2009,White,0.00622
2010,White,0.0063
2011,White,0.00635
2012,White,0.00639
2013,White,0.00636
2014,White,0.00637
2015,White,0.00634
2016,White,0.00637
1947,African American,0.00009
1948,African American,0.00007
1949,African American,0.00015
1950,African American,0.00017
1951,African American,0.00029
1952,African American,0.00029
1953,African American,0.00037
1954,African American,0.00056
1955,African American,0.00052
1956,African American,0.00067
1957,African American,0.00067
1958,African American,0.00074
1959,African American,0.00088
1960,African American,0.00089
1961,African American,0.00097
1962,African American,0.00101
1963,African American,0.00117
1964,African American,0.00117
1965,African American,0.00127
1966,African American,0.00134
1967,African American,0.00136
1968,African American,0.00154
1969,African American,0.00145
1970,African American,0.00146
1971,African American,0.00155
1972,African American,0.00161
1973,African American,0.00174
1974,African American,0.00174
1975,African American,0.00185
1976,African American,0.0018
1977,African American,0.00179
1978,African American,0.00174
1979,African American,0.00179
1980,African American,0.00174
1981,African American,0.00187
1982,African American,0.00179
1983,African American,0.0018
1984,African American,0.00184
1985,African American,0.00183
1986,African American,0.00183
1987,African American,0.00177
1988,African American,0.00173
1989,African American,0.00165
1990,African American,0.00166
1991,African American,0.0017
1992,African American,0.00167
1993,African American,0.00168
1994,African American,0.00172
1995,African American,0.00161
1996,African American,0.0016
1997,African American,0.0015
1998,African American,0.00143
1999,African American,0.00136
2000,African American,0.00128
2001,African American,0.00121
2002,African American,0.00108
2003,African American,0.00104
2004,African American,0.00101
2005,African American,0.00091
2006,African American,0.0009
2007,African American,0.00085
2008,African American,0.00082
2009,African American,0.00071
2010,African American,0.00078
2011,African American,0.00079
2012,African American,0.00072
2013,African American,0.00067
2014,African American,0.00067
2015,African American,0.00072
2016,African American,0.00067
1947,Latino,0.00007
1948,Latino,0.00007
1949,Latino,0.00019
1950,Latino,0.0003
1951,Latino,0.00028
1952,Latino,0.00027
1953,Latino,0.0003
1954,Latino,0.00037
1955,Latino,0.0005
1956,Latino,0.00051
1957,Latino,0.00052
1958,Latino,0.00059
1959,Latino,0.00065
1960,Latino,0.00089
1961,Latino,0.00077
1962,Latino,0.0008
1963,Latino,0.00082
1964,Latino,0.00089
1965,Latino,0.00088
1966,Latino,0.00097
1967,Latino,0.00107
1968,Latino,0.00108
1969,Latino,0.00111
1970,Latino,0.00117
1971,Latino,0.00106
1972,Latino,0.00109
1973,Latino,0.0011
1974,Latino,0.00115
1975,Latino,0.00102
1976,Latino,0.00115
1977,Latino,0.00114
1978,Latino,0.00113
1979,Latino,0.00107
1980,Latino,0.00116
1981,Latino,0.00111
1982,Latino,0.00117
1983,Latino,0.00116
1984,Latino,0.0012
1985,Latino,0.00113
1986,Latino,0.00118
1987,Latino,0.00123
1988,Latino,0.00145
1989,Latino,0.00132
1990,Latino,0.00148
1991,Latino,0.00161
1992,Latino,0.00156
1993,Latino,0.00169
1994,Latino,0.00178
1995,Latino,0.00192
1996,Latino,0.00204
1997,Latino,0.00235
1998,Latino,0.00228
1999,Latino,0.00235
2000,Latino,0.00247
2001,Latino,0.0026
2002,Latino,0.00265
2003,Latino,0.00268
2004,Latino,0.00277
2005,Latino,0.00278
2006,Latino,0.00279
2007,Latino,0.00261
2008,Latino,0.00273
2009,Latino,0.00285
2010,Latino,0.00272
2011,Latino,0.00269
2012,Latino,0.00269
2013,Latino,0.00277
2014,Latino,0.00277
2015,Latino,0.00277
2016,Latino,0.00274
1947,Asian,0
1948,Asian,0
1949,Asian,0
1950,Asian,0
1951,Asian,0
1952,Asian,0
1953,Asian,0
1954,Asian,0
1955,Asian,0
1956,Asian,0
1957,Asian,0
1958,Asian,0
1959,Asian,0
1960,Asian,0
1961,Asian,0
1962,Asian,0
1963,Asian,0
1964,Asian,0.00001
1965,Asian,0.00001
1966,Asian,0
1967,Asian,0
1968,Asian,0
1969,Asian,0
1970,Asian,0
1971,Asian,0
1972,Asian,0
1973,Asian,0
1974,Asian,0
1975,Asian,0
1976,Asian,0
1977,Asian,0
1978,Asian,0
1979,Asian,0
1980,Asian,0
1981,Asian,0
1982,Asian,0
1983,Asian,0
1984,Asian,0
1985,Asian,0
1986,Asian,0
1987,Asian,0
1988,Asian,0
1989,Asian,0
1990,Asian,0
1991,Asian,0.00001
1992,Asian,0
1993,Asian,0
1994,Asian,0.00001
1995,Asian,0.00002
1996,Asian,0.00004
1997,Asian,0.00005
1998,Asian,0.00008
1999,Asian,0.00012
2000,Asian,0.00013
2001,Asian,0.00012
2002,Asian,0.00019
2003,Asian,0.00018
2004,Asian,0.00018
2005,Asian,0.00023
2006,Asian,0.00019
2007,Asian,0.00022
2008,Asian,0.00023
2009,Asian,0.00021
2010,Asian,0.00019
2011,Asian,0.00017
2012,Asian,0.00019
2013,Asian,0.0002
2014,Asian,0.00018
2015,Asian,0.00017
2016,Asian,0.00021
